pnum,ospan,symspan,rspan,color,shape,space,orient,motion,colorK,shapek,raven,ns,cf,rel2,anti,drop48,picsource,pa,dfrp,ospanrt,symspanrt,rspanrt
159,71,33,72,3.32,5.41,5.52,3.06,2.71,1.6,0.4,12,15,34,0.01,0.89,0,0.86,0.47,0.62,2222,1746,3424
160,39,16,33,0.78,0.29,3.57,1.88,1.44,0.13,0.47,6,7,28,0.16,0.39,0.8,0.59,0.2,0.37,3584,2580,3308.5
162,59,33,50,0.98,0,1.51,0,0,-0.07,0.13,10,5,30,0.14,0.47,2.13,0.18,0.23,0.42,2705,1628.5,3774.5
163,67,37,54,1.61,0,3.83,1.45,0.73,1.33,0.87,12,8,39,0.06,0.55,-1.33,0.86,0.77,0.65,3621.5,1514,4423
164,52,29,39,1.39,0,3.84,1.87,1.75,1.27,1.47,7,13,32,0.09,0.6,1.87,0.83,0.7,0.62,4129,1783,3864
165,57,24,44,2.41,3.5,5.73,2.53,2.45,2.67,2.4,11,10,36,-0.03,0.67,-0.53,0.86,0.67,0.63,3170.5,2635,3818
166,66,40,74,2.56,3.34,4.81,0,0.5,2,2.33,11,8,33,0.23,0.65,0.67,0.88,0.97,0.82,3656.5,1967,4508
167,5,9,8,0.51,0.64,4.28,1.52,0.78,0.87,0.8,7,9,34,0.2,0.65,0.93,0.36,0.13,0.4,3134.5,1533.5,3475.5
168,60,18,39,1.98,0,4.74,2.2,1.23,2.2,1.47,4,11,23,0.05,0.67,0,0.46,0.13,0.48,2847,3145.5,4433
169,65,36,65,3.27,3.69,5.22,3.03,2.33,2.53,2.27,16,14,41,0.05,0.75,0.53,0.97,0.8,0.65,2857,1693,3131.5
170,62,33,59,1.98,4.38,5.4,2.44,2.74,2.07,1.4,11,11,44,0.02,0.8,-0.4,0.84,0.63,0.52,2433.5,1847,2653
171,6,2,1,0,0,3.81,0,0,1.47,0.93,4,8,14,0.11,0.32,1.76,0.29,0.07,0.57,2464.5,2614,3644.5
172,45,37,57,4.65,3.06,5.62,3.67,2.99,3.53,3.93,17,14,48,-0.01,0.6,-2.24,0.67,0.3,0.72,2190.5,1158,3116.5
174,56,29,68,2.35,2.55,5.72,0.68,1.68,1.47,1,12,7,33,0.16,0.67,0.16,0.64,0.37,0.68,3594,2498,3577
175,69,38,60,2.11,0,4.18,0,0,1.6,1.07,11,9,39,0.21,0.7,-0.16,0.86,0.73,0.65,2724,1496,2851
179,46,20,55,1.38,0,4.75,2.02,1.56,1.87,1.93,9,8,36,0.05,0.37,2.16,0.87,0.6,0.57,4368.5,2253,3600
180,57,37,43,2.21,0,4.05,0.92,0.68,1.8,2.2,9,13,33,0.19,0.77,1.84,0.74,0.33,0.67,2281,1910,3307
181,68,22,64,1.32,2.27,4.98,2.23,2.17,1.53,0.47,14,14,43,0.01,0.87,1.47,0.92,0.73,0.77,2472.5,1242.5,3092
184,60,33,52,1.4,1.98,3.83,1.42,0,1.6,1.87,2,9,24,0.05,0.37,1.2,0.2,0.07,0.38,2180,1431,4450
185,72,41,54,2.59,1.02,5.22,2.62,2.85,2.8,3.27,18,12,38,0.04,0.72,-0.4,0.9,0.5,0.48,3054.5,2002,4672.5
186,60,30,66,1.4,1.6,4.65,2.84,2.43,2.47,1.33,12,14,27,0.02,0.52,1.33,0.86,0.3,0.9,4177,4071,2984
187,14,18,26,1.54,0,4.11,1.63,0.66,1.53,1.4,6,5,27,0.15,0.4,-0.27,0.6,0.2,0.27,4246,1765.5,3171
189,67,38,57,2.66,3.36,5.09,1.11,1.65,3,3.72,9,11,37,0.07,0.78,-0.13,0.9,0.23,0.52,2263,2421,3735
190,58,27,61,1.44,0.23,5.29,1.04,0,2.27,1.2,10,6,31,0.14,0.55,0.4,0.59,0.23,0.57,2924,2996.5,2492
191,64,34,51,1.24,2.43,5.19,1.84,1.41,2.47,2.47,10,11,33,0,0.62,1.07,0.54,0.07,0.55,3002,1711.5,4325.5
194,69,39,64,2.73,4.78,5.33,3.44,3.73,2.27,3.07,12,11,36,0.05,0.72,-0.93,0.82,0.47,0.83,3070,1738,3698.5
196,34,17,42,2.93,0,5.5,2.22,1.01,1.67,-0.07,4,11,30,0.13,0.49,2,0.51,0.2,0.4,2663,1793.5,3480
197,73,41,70,1.51,0,5.47,2.19,0,0.45,-0.3,11,10,38,0.08,0.65,1.47,0.76,0.87,0.82,2977,1709.5,2989
198,38,29,67,1.72,2.64,5.2,0.7,2.85,2.73,1.8,11,7,33,0.06,0.5,2.27,0.64,0.53,0.72,5236,2268,3312
203,75,37,63,2.55,0,5.75,2.6,3.28,2.67,1.87,15,9,37,0.03,0.7,-0.4,0.72,0.7,0.67,2243,1764,4257
204,67,20,67,2.11,0,3.37,0,0.53,2.13,2.13,9,7,34,0.24,0.4,-0.53,0.59,0.53,0.4,5972.5,1837,3974
206,45,18,41,2.34,0,4.52,2.38,1.39,1.53,0.87,11,7,29,0.12,0.6,0.13,0.86,0.63,0.6,5658.5,2595,4931
207,72,42,71,3.29,2.75,5.55,3.03,1.41,2.2,4,11,13,32,0.11,0.85,0,0.76,0.37,0.57,2650.5,1168,3652.5
209,72,41,67,3.72,2.97,5.75,3.72,3.75,1.47,1.27,13,12,37,-0.01,0.95,0.67,0.9,1,0.73,2525,1466.5,3492.5
210,54,37,65,2.7,0,5.2,1.32,2.48,2.47,1.47,6,5,28,0,0.79,0.67,0.89,0.53,0.42,3435,1953,3307
212,69,36,66,1.45,0,4.38,0.83,0,2.87,2.2,8,7,32,0.02,0.63,1.47,0.67,0.17,0.43,4741,1683,4113
213,57,26,63,2.53,1.67,5.04,1.37,1.36,3.07,2.73,7,7,39,0.06,0.5,-0.27,0.9,0.87,0.72,3002.5,1439,2762.5
214,70,19,72,1.24,0,5.25,0.95,0.87,2.07,0.6,6,8,32,0.12,0.65,-0.8,0.88,0.33,0.52,2745,2708,3945
215,75,29,72,1.56,1.1,4.63,0.49,0.8,1.8,1,13,12,40,0.19,0.67,1.87,0.51,0.53,0.62,3354.5,2184,2379
216,54,31,62,2.26,2.31,4.87,2.3,2.04,2.4,0.93,10,9,40,0.1,0.53,0.67,0.73,0.83,0.9,3022.5,1822,3042
217,67,28,64,2.62,0.4,5.12,0.3,0,1.6,1.07,10,7,30,0.12,0.45,0.8,0.76,0.53,0.45,3000.5,2292.5,3384
218,46,27,38,0.97,2.36,3.45,0,1.26,1.05,-0.83,7,6,27,0.15,0.45,1.33,0.75,0.3,0.43,5089,1682,5831
219,68,40,52,1.52,0.88,4.93,0,1.44,1.4,0.87,7,6,24,0.08,0.53,-0.8,0.63,0.73,0.4,3993,2054,3512
